City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qa'en,33.7265,59.1844,22.47,30,1,3.74,IR,1691533248
1,yellowknife,62.456,-114.3525,22.29,40,20,7.72,CA,1691533214
2,iqaluit,63.7506,-68.5145,5.85,86,40,4.63,CA,1691532923
3,waitangi,-43.9535,-176.5597,9.34,92,100,0.89,NZ,1691532903
4,constantia,44.1833,28.65,15.39,66,46,3.79,RO,1691532935
5,shemysheyka,52.892,45.3928,19.24,52,0,3.23,RU,1691533248
6,blackmans bay,-43.0167,147.3167,3.07,94,39,2.98,AU,1691532905
7,kabalo,-6.05,26.9167,26.59,33,2,2.36,CD,1691533249
8,tamanrasset,22.785,5.5228,28.95,32,100,6.17,DZ,1691532950
9,la ronge,55.1001,-105.2842,20.12,49,75,4.63,CA,1691533040
10,bethel,41.3712,-73.414,26.17,69,75,6.69,US,1691532637
11,dakhla,23.6848,-15.958,20.71,90,0,6.76,EH,1691533230
12,kimbe,-5.5502,150.1429,26.61,70,84,4.83,PG,1691533249
13,aitape,-3.1374,142.3475,25.43,87,31,2.13,PG,1691533249
14,longyearbyen,78.2186,15.6401,8.91,71,0,4.12,SJ,1691532722
15,port lincoln,-34.7333,135.8667,12.4,44,0,8.99,AU,1691532915
16,ponta delgada,37.7333,-25.6667,23.4,83,40,4.12,PT,1691533249
17,marica,-22.9194,-42.8186,20.95,89,98,4.02,BR,1691533249
18,arno,60.1167,18.6333,14.88,73,42,9.42,SE,1691533249
19,kenai,60.5544,-151.2583,18.05,80,40,3.09,US,1691532925
20,chonchi,-42.6128,-73.8092,10.07,98,100,2.36,CL,1691532928
21,bardai,11.65,7.2333,21.78,91,99,3.44,NG,1691533130
22,kailua-kona,19.6406,-155.9956,31.98,59,0,6.69,US,1691532726
23,mount isa,-20.7333,139.5,7.87,87,6,0.51,AU,1691532716
24,olonkinbyen,70.9221,-8.7187,4.59,92,100,7.48,SJ,1691532908
25,adamstown,-25.066,-130.1015,22.34,87,92,15.35,PN,1691532908
26,trinidad,-14.8333,-64.9,24.99,57,75,1.54,BO,1691533250
27,port-aux-francais,-49.35,70.2167,1.05,69,94,9.67,TF,1691532707
28,kamaishi,39.2667,141.8833,26.75,89,56,4.49,JP,1691533250
29,broome,42.2506,-75.833,18.83,95,100,5.14,US,1691532908
30,olenino,56.2092,33.4889,12.88,82,43,1.55,RU,1691533220
31,kaga bandoro,6.9896,19.1874,21.69,97,100,1.46,CF,1691533250
32,atafu village,-8.5421,-172.5159,28.66,69,90,5.4,TK,1691533250
33,georgetown,5.4112,100.3354,26.08,91,20,1.54,MY,1691533219
34,anadyr,64.75,177.4833,11.28,81,75,8.0,RU,1691532912
35,hawaiian paradise park,19.5933,-154.9731,28.83,73,20,4.12,US,1691532905
36,peace river,56.2501,-117.286,18.17,88,100,3.09,CA,1691533251
37,pisco,-13.7,-76.2167,21.03,73,0,7.72,PE,1691532917
38,tazovsky,67.4667,78.7,8.76,97,100,4.32,RU,1691532748
39,ribeira grande,38.5167,-28.7,24.32,88,75,10.28,PT,1691532909
40,pundong,-7.9522,110.3486,20.7,89,21,1.43,ID,1691532920
41,yatou,37.15,122.3833,24.21,91,25,3.32,CN,1691533251
42,kievka,50.2619,71.5514,20.54,53,39,4.57,KZ,1691533251
43,invercargill,-46.4,168.35,5.57,93,94,4.92,NZ,1691533251
44,college,64.8569,-147.8028,20.67,89,100,3.09,US,1691532922
45,galesong,-5.3166,119.3661,20.01,77,61,3.25,ID,1691533251
46,rio gallegos,-51.6226,-69.2181,0.03,93,0,2.57,AR,1691532942
47,ivdel',60.6911,60.4206,14.66,94,23,2.05,RU,1691533251
48,igarka,67.4667,86.5833,15.02,63,89,3.11,RU,1691532941
49,whitehorse,60.7161,-135.0538,17.43,67,75,5.66,CA,1691532916
50,grytviken,-54.2811,-36.5092,-3.43,80,31,3.76,GS,1691533252
51,aasiaat,68.7098,-52.8699,4.52,70,50,1.84,GL,1691532907
52,puerto el triunfo,13.2833,-88.55,31.3,63,52,3.42,SV,1691532977
53,lerwick,60.1545,-1.1494,10.0,79,100,13.8,GB,1691533252
54,dyurtyuli,55.4911,54.8688,15.19,94,1,3.51,RU,1691533252
55,naantali,60.4674,22.0243,15.48,77,20,5.14,FI,1691533252
56,avarua,-21.2078,-159.775,24.03,57,20,5.14,CK,1691532919
57,thief river falls,48.1191,-96.1812,25.53,57,0,5.66,US,1691533038
58,albany,42.6001,-73.9662,22.36,83,82,2.24,US,1691532986
59,dudinka,69.4058,86.1778,13.68,64,71,1.04,RU,1691532931
60,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,72,40,4.0,RU,1691532922
61,edinburgh of the seven seas,-37.0676,-12.3116,12.18,90,100,12.77,SH,1691532903
62,uturoa,-16.7333,-151.4333,26.01,77,99,3.07,PF,1691532906
63,kodiak,57.79,-152.4072,12.73,94,75,2.06,US,1691532710
64,thompson,55.7435,-97.8558,14.09,77,100,7.2,CA,1691532906
65,bilibino,68.0546,166.4372,4.58,64,100,2.89,RU,1691532909
66,kalajoki,64.25,23.95,17.73,76,0,3.95,FI,1691533253
67,katsuren-haebaru,26.3369,127.8719,27.43,95,75,6.17,JP,1691533253
68,laguna,38.421,-121.4238,35.17,40,0,6.17,US,1691532940
69,baotou,40.6522,109.8222,25.95,47,100,1.31,CN,1691533253
70,saint-pierre,-21.3393,55.4781,18.82,72,0,2.06,RE,1691533253
71,saipan,15.1355,145.701,29.39,100,40,2.57,MP,1691532953
72,ust-nera,64.5667,143.2,14.53,55,84,0.96,RU,1691532912
73,villa gesell,-37.2639,-56.973,8.36,82,75,5.53,AR,1691533254
74,tiksi,71.6872,128.8694,15.04,53,9,1.47,RU,1691532911
75,hamilton,39.1834,-84.5333,29.03,53,40,4.12,US,1691532930
76,nemuro,43.3236,145.575,18.33,100,100,5.59,JP,1691532904
77,polyarnyy,69.1989,33.4478,17.02,81,2,5.11,RU,1691533254
78,beyneu,45.3167,55.2,29.18,34,0,3.61,KZ,1691533254
79,kapuskasing,49.4169,-82.4331,26.05,50,75,3.09,CA,1691532947
80,tolanaro,-25.0319,46.9987,18.94,93,40,3.82,MG,1691532913
81,puerto ayora,-0.7393,-90.3518,28.98,84,58,3.58,EC,1691532716
82,nar'yan-mar,67.6713,53.087,9.6,74,84,0.72,RU,1691532908
83,pacific grove,36.6177,-121.9166,23.55,78,0,7.72,US,1691533221
84,port elizabeth,-33.918,25.5701,14.5,100,75,3.09,ZA,1691533254
85,qianjiang,30.4151,112.8859,24.68,79,39,2.61,CN,1691533254
86,farkhar,36.5729,69.8578,22.25,38,1,1.66,AF,1691532916
87,vadso,70.0744,29.7487,21.49,94,0,2.57,NO,1691532911
88,tsiombe,-25.3,45.4833,19.99,86,1,4.76,MG,1691533255
89,hotan,37.0997,79.9269,24.94,40,5,2.3,CN,1691533255
90,port alfred,-33.5906,26.891,14.54,97,81,0.45,ZA,1691532940
91,ilulissat,69.2167,-51.1,10.01,53,20,0.51,GL,1691532707
92,sarmiento,-45.5882,-69.07,10.55,54,100,8.71,AR,1691533255
93,qamdo,31.1667,97.2333,5.71,83,70,1.85,CN,1691532955
94,kingston,17.997,-76.7936,30.13,82,69,3.13,JM,1691532772
95,sangkhla buri,15.1555,98.4536,22.54,99,100,0.09,TH,1691533255
96,iringa,-7.7667,35.7,13.68,73,52,4.2,TZ,1691533255
97,stanley,54.868,-1.6985,12.62,73,0,5.14,GB,1691532720
98,ushuaia,-54.8,-68.3,-0.19,90,86,2.85,AR,1691532698
99,yarmouth,41.7057,-70.2286,26.03,89,75,6.71,US,1691533255
100,myeik,12.4333,98.6,26.09,89,100,3.71,MM,1691533255
101,keflavik,64.0049,-22.5624,12.95,87,20,4.12,IS,1691532925
102,new norfolk,-42.7826,147.0587,3.29,95,41,1.39,AU,1691532658
103,hadibu,12.65,54.0333,25.66,80,97,8.28,YE,1691532931
104,alpena,45.0617,-83.4327,24.18,80,40,0.89,US,1691533256
105,gjovik,60.7947,10.6929,12.86,98,100,3.35,NO,1691533256
